[[-4.52449799e+01 -2.39091869e-02]
 [ 2.41623535e+01 -1.30337579e-02]
 [ 2.44685268e+01 -1.43631790e-02]
 [ 2.47757034e+01 -1.57720260e-02]
 [ 2.50837650e+01 -1.72513705e-02]
 [ 2.53925972e+01 -1.87922809e-02]
 [ 2.57020855e+01 -2.03858297e-02]
 [ 2.60121155e+01 -2.20230874e-02]
 [ 2.63225689e+01 -2.36951243e-02]
 [ 2.66333313e+01 -2.53930129e-02]
 [ 2.69442902e+01 -2.71078236e-02]
 [ 2.72553272e+01 -2.88306270e-02]
 [ 2.75663280e+01 -3.05524934e-02]
 [ 2.78771782e+01 -3.22644934e-02]
 [ 2.81877613e+01 -3.39577012e-02]
 [ 2.84979630e+01 -3.56231853e-02]
 [ 2.88076668e+01 -3.72520126e-02]
 [ 2.91167603e+01 -3.88352610e-02]
 [ 2.94251251e+01 -4.03640009e-02]
 [ 2.97326469e+01 -4.18292955e-02]
 [ 3.00392113e+01 -4.32222262e-02]
 [ 3.03447018e+01 -4.45338562e-02]
 [ 3.06490040e+01 -4.57552560e-02]
 [ 3.09520016e+01 -4.68775034e-02]
 [ 3.12535801e+01 -4.78916653e-02]
 [ 3.15536251e+01 -4.87888120e-02]
 [ 3.18520203e+01 -4.95600142e-02]
 [ 3.21486511e+01 -5.01963422e-02]
 [ 3.24434013e+01 -5.06888703e-02]
